#  P               dx_min          omega_max
   1.0000000e+00   1.0000000e+00   2.0000000e+00
   2.0000000e+00   5.0000000e-01   4.8989795e+00
   3.0000000e+00   2.7639320e-01   8.6203822e+00
   4.0000000e+00   1.7267316e-01   1.3540623e+01
   5.0000000e+00   1.1747234e-01   1.9797952e+01
   6.0000000e+00   8.4888052e-02   2.7378050e+01
   7.0000000e+00   6.4129926e-02   3.6256848e+01
   8.0000000e+00   5.0121002e-02   4.6421894e+01
   9.0000000e+00   4.0233046e-02   5.7867306e+01
   1.0000000e+01   3.2999285e-02   7.0590158e+01
   1.1000000e+01   2.7550364e-02   8.4588883e+01
   1.2000000e+01   2.3345077e-02   9.9862585e+01
   1.3000000e+01   2.0032477e-02   1.1641072e+02
   1.4000000e+01   1.7377037e-02   1.3423295e+02
   1.5000000e+01   1.5215977e-02   1.5332903e+02
   1.6000000e+01   1.3433912e-02   1.7369883e+02
   1.7000000e+01   1.1947221e-02   1.9534221e+02
   1.8000000e+01   1.0694117e-02   2.1825912e+02
   1.9000000e+01   9.6281476e-03   2.4244948e+02
